Book ID,Title,Author,Language,Genre,Publication Year,Publisher,Pages,ISBN,Price (INR),Rating,Reviews Count,Summary,Book Type,Available in Digital Format
1,Shyamchi Aai,Shivaji Sawant,Marathi,Drama,1972,Mehta Publishing,250,978-93-5097-069-4,150,4.5,1200,The story of a son's love and respect for his mother and the challenges she faces in life,Fiction,Yes
2,Godan,Premchand,Hindi,Social,1936,Navjivan Publishing,300,978-81-246-0823-7,100,4.7,2000,Depicts the life of a poor farmer and the struggles to maintain his land and family,Social,Yes
3,Chandrakanta,Devaki Nandan Khatri,Hindi,Fantasy,1888,Rajkamal Prakashan,450,978-81-222-0714-3,250,4.3,1500,The story of magic,Fiction,Yes
4,Mrityunjay,Shivaji Sawant,Marathi,Historical,1993,Mehta Publishing,380,978-81-8435-225-3,300,4.6,1000,A retelling of the story of Karna from Mahabharata,Historical,Yes
5,Chhava,Shivaji Sawant,Marathi,Historical,2000,Mehta Publishing,350,978-81-8435-500-1,200,4.4,850,The story of Sambhaji Maharaj,Historical,Yes
6,Raag Darbari,Sridhar Iyer,Hindi,Satire,1972,Navjivan Publishing,200,978-81-8682-446-5,120,4.2,300,A satire on the political scenario and bureaucracy in India,Satire,No
7,Katha Ek Khandar Ki,Bhagwati Charan Verma,Hindi,Thriller,1946,Panchsheel Prakashan,320,978-81-8406-061-4,180,4.5,1100,A thrilling mystery about a haunted fort and its secrets,Thriller,No
8,Swami,R. K. Narayan,Hindi,Social,1937,Indian Thought Publications,270,978-81-7343-008-1,120,4.3,800,The story of a boy's adventures in a small village,Social,Yes
9,Mazha Pravas,Vishnu Sakharam Khandekar,Marathi,Travel,1945,Mehta Publishing,220,978-81-901011-3-0,140,4.4,900,The travelogue of the author’s journey through rural India,Non-fiction,No
10,Chitralekha,Ranji,Marathi,Drama,1934,Rajhans Publications,160,978-81-7382-019-4,100,4.6,1200,A dramatic work about the complex relationships of love and morality,Drama,Yes
11,Shubhamangala,Dnyaneshwar Padalkar,Marathi,Spiritual,1980,Muktai Prakashan,210,978-81-8475-920-2,160,4.8,1300,Discusses the philosophical thoughts and spiritual wisdom of the Marathi saints,Spiritual,Yes
12,Tehniyat,Kamleshwar,Hindi,Drama,1982,India Today,280,978-81-8462-233-7,150,4.1,950,A reflection on societal changes and personal dilemmas,Drama,No
13,Mrityunjay,Shivaji Sawant,Marathi,Historical,1993,Mehta Publishing,380,978-81-8435-225-3,300,4.7,800,A retelling of the story of Karna from Mahabharata,Historical,Yes
14,Rajmohan's Wife,Bankim Chandra Chattopadhyay,Hindi,Romance,1864,Navjivan Publishing,350,978-81-2345-196-0,190,4.2,400,A romantic tale set in the backdrop of British colonial India,Romance,Yes
15,Madhushala,Harivansh Rai Bachchan,Hindi,Poetry,1935,Poet's Press,150,978-81-2482-185-2,80,4.8,3000,Poetry reflecting life,Poetry,Yes
16,Gitanjali,Rabindranath Tagore,Hindi,Poetry,1910,Visva-Bharati,220,978-81-207-5123-0,200,4.9,4000,The collection of Tagore's spiritual poems expressing devotion and humanity,Poetry,Yes
61,Mazha Pravas,Vishnu Sakharam Khandekar,Marathi,Travel,1945,Mehta Publishing,220,978-81-2345-982-1,130,4.5,800,The travelogue of the author’s journey through rural India,Non-fiction,No
62,Jeevan Ki Sadhana,Swami Vivekananda,Hindi,Spiritual,1896,India Book House,180,978-81-2116-074-3,100,4.8,1200,Philosophical teachings for leading a meaningful life,Spiritual,Yes
63,Chandermukhi,Amrita Pritam,Hindi,Romance,1981,Navjivan Publishing,260,978-81-2122-674-5,160,4.4,950,The poignant love story set amidst political turmoil,Romance,Yes
64,Katha Upanishad,Swami Sivananda,Hindi,Philosophy,1930,Sivananda Ashram,180,978-81-2116-079-8,80,4.9,1500,The eternal wisdom and teachings of the Katha Upanishad,Philosophy,Yes
65,Antaral,Suresh Joshi,Marathi,Drama,1995,Shree Prakashan,280,978-81-2452-865-0,140,4.6,1000,A gripping drama about identity,Drama,Yes
66,Ek Phool Do Mali,Ramji P. Jadhav,Hindi,Drama,1992,National Publishing House,230,978-81-2222-672-3,110,4.3,850,A symbolic story of the struggles of two people bound by love and fate,Drama,Yes
67,Shubhamangala,Dnyaneshwar Padalkar,Marathi,Spiritual,1980,Muktai Prakashan,210,978-81-8475-920-2,160,4.8,1300,Discusses the philosophical thoughts and spiritual wisdom of the Marathi saints,Spiritual,Yes
68,Premchand Ki Kahaniyan,Premchand,Hindi,Short Stories,1934,Panchsheel Press,290,978-81-2100-222-1,140,4.7,2000,A collection of stories focusing on social issues and human nature,Short Stories,Yes
69,Shanti Path,Dr. Radhakrishnan,Marathi,Spiritual,1963,Shree Prakashan,180,978-81-2483-876-3,100,4.5,1500,Philosophical reflections and spiritual wisdom,Spiritual,Yes
